city_name,country_code,rand_lat,rand_lng,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
arraial do cabo,br,-32.17999999997042,-29.75000000013665,-22.97,-42.02,72.52,88,75,5.82
isangel,vu,-20.109999999964245,178.5499999996739,-19.55,169.27,70.38,100,92,19.93
saint george,bm,29.39000000006108,-54.13000000011448,32.38,-64.68,80.6,78,75,12.75
srednekolymsk,ru,66.03000000007984,153.0399999996971,67.46,153.71,49.77,72,88,3.27
ixtapa,mx,9.560000000050934,-104.70000000006848,20.71,-105.21,87.8,70,90,14.99
sobolevo,ru,54.500000000073925,153.87999999969634,54.43,31.9,46.8,75,0,8.41
rikitea,pf,-23.769999999966117,-141.43000000003508,-23.12,-134.97,73.08,100,48,15.23
stanovoye,ru,52.840000000073076,38.12999999980161,52.76,38.34,46.08,67,12,6.96
chuy,uy,-52.77999999998096,-32.90000000013379,-33.69,-53.46,52.38,79,8,21.61
geraldton,ca,49.93000000007157,-88.15000000008354,49.72,-86.95,66.2,39,40,9.17
victoria,sc,-1.8699999999549135,61.599999999780266,-4.62,55.45,80.6,78,20,9.17
bilma,ne,21.59000000005709,12.659999999824777,18.69,12.92,84.42,18,0,7.29
albany,au,-87.53999999999874,117.69999999972924,-35.02,117.88,39.15,98,0,7.29
yellowknife,ca,69.37000000008152,-112.29000000006158,62.45,-114.38,59,38,20,14.99
gandajika,cd,-7.079999999957579,23.829999999814618,-6.75,23.95,66.78,50,0,9.08
hobart,au,-66.59999999998803,147.25999999970236,-42.88,147.33,55.4,62,75,11.41
drumheller,ca,51.56000000007242,-112.7100000000612,51.47,-112.7,78.84,34,36,17.25
puerto ayora,ec,-11.309999999959743,-99.56000000007316,-0.74,-90.35,82.4,54,20,19.46
saint-augustin,ca,57.44000000007543,-61.22000000010803,45.63,-73.98,69.22,56,75,10.29
ribeira grande,pt,28.050000000060393,-42.170000000125356,38.52,-28.7,66.2,59,20,9.17
ust-nera,ru,65.39000000007951,144.19999999970514,64.57,143.24,46.98,64,0,2.59
eldorado,br,-23.57999999996602,-54.05000000011455,-24.52,-48.11,62.82,100,92,5.73
tasiilaq,gl,65.22000000007941,-36.46000000013055,65.61,-37.64,41,86,92,4.7
qaanaaq,gl,89.71000000009195,-90.58000000008133,77.48,-69.36,30.06,98,0,7.18
camacha,pt,40.08000000006655,-17.70000000014761,33.08,-16.33,69.03,88,75,14.99
murchison,nz,-41.669999999975275,172.35999999967953,-41.8,172.33,28.8,80,0,1.7
severo-kurilsk,ru,30.200000000061493,170.77999999968097,50.68,156.12,37.53,100,88,14.12
chastyye,ru,57.37000000007538,55.02999999978624,57.29,54.97,46.53,55,0,6.06
bluff,nz,-71.19999999999038,158.80999999969185,-46.6,168.33,49.32,100,8,14.23
te anau,nz,-42.019999999975454,163.4799999996876,-45.41,167.72,21.24,72,0,2.48
ostersund,se,62.300000000077915,15.279999999822394,63.18,14.64,46.4,75,75,11.41
uribia,co,12.17000000005227,-71.51000000009867,11.71,-72.27,92.79,46,8,26.53
lamtah,tn,35.82000000006437,10.849999999826423,35.67,10.88,73.4,83,20,20.8
abnub,eg,27.330000000060025,29.779999999809206,27.27,31.15,80.6,32,0,13.87
mar del plata,ar,-55.449999999982325,-38.43000000012876,-46.43,-67.52,43.56,74,80,14.67
butaritari,ki,14.40000000005341,162.62999999968838,3.07,172.79,84.42,100,76,7.63
